"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Insect infestation","Spray imidachloprid @ 1ml/3lit of water *","BIHAR","KAIMUR","BHABUA                                            ","2014-12-01 19:41:04.910"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Variety of wheat","Variety of wheat- P.B.W-373, P.B.W-443, P.B.W-573 P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","BIHAR","KAIMUR","RAMGARH                                           ","2014-12-01 19:50:41.990"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","insect problem","quinalphos @ 2 ml in one litre of water","BIHAR","KAIMUR","BHABUA                                            ","2014-12-02 08:17:22.357"
"KHARIF","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","	Plant Protection	","INSECT PROBLEM IN RAYA","INSECT PROBLEM IN RAYA Spray imidachloprid @ 1ml/3lit of water","BIHAR","KAIMUR","MOHANIA                                           ","2014-12-03 17:47:04.263"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","for growth","spray boomflower @2ml/lit of water","BIHAR","KAIMUR","CHAINPUR                                          ","2014-12-04 15:03:49.560"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WATER MANAGEMENT","WATER MANAGEMENT

The crop requires 4 - 6 irrigations depending on the soil type and rainfall. Wheat crop requires minimum of 5 irrigations at the following critical stages.
            I – Immediately after sowing
            II – Crown root intiation : 15-20 DAS 
            III- Active tillering stage : 35-40 DAS
            IV- Flowering stage        : 50-55 DAS
            V- Grain filling stage      : 70-75 DAS
            Crown root initiation and flowering are the most critical stages. Water stagnation should be voided at the time of germination.","BIHAR","KAIMUR","CHAINPUR                                          ","2014-12-05 09:13:39.660"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Best variety of papaya","Best variety of papaya- pusa nanha, pusa dwarf, pusa delicious, pusa majesti","BIHAR","KAIMUR","CHAINPUR                                          ","2014-12-05 09:15:40.947"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","weed managemant in wheat","weed managemant in wheat Spray salfosulfuran @ 33-35 gram par hacter","BIHAR","KAIMUR","CHAINPUR                                          ","2014-12-05 09:26:14.407"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Late blight disease of potato","Management rog rodhi variety ka grow kare or dithane –m-45 @ 1 liter pani me mila kar spray kare","BIHAR","KAIMUR","RAMPUR                                            ","2014-12-05 10:33:42.287"
"KHARIF","HORTICULTURE","Flowers","China Astor","Bio-Pesticides and Bio-Fertilizers","insect problem","Spray carbaril @ 2 gram in 1 litter of water","BIHAR","KAIMUR","CHAND                                             ","2014-12-05 16:15:09.293"
"RABI","AGRICULTURE","Others","Others","Weather","Weather information","NO CHANCE OF RAIN","BIHAR","KAIMUR","CHAND                                             ","2014-12-05 16:19:10.910"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT-","VARIETY OF WHEAT-PBW-373,HD-2285,HD-2733,HD-2967,HD-2932, PBW-343, AND PBW-502,PBW-154, up-262","BIHAR","KAIMUR","BHABUA                                            ","2014-12-05 18:20:12.160"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","varities of WHEAT","varities of WHEAT -K 1006 , NW 5054 DBW 39 ,HD  2824 , PBW 343 ?","BIHAR","KAIMUR","NUAON                                             ","2014-12-06 10:32:44.040"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat-","Variety of wheat- P.B.W-373, P.B.W-443, P.B.W-573 P.B.W-343, P.B.W-154, HD-2733, HD-2824, k-9107","BIHAR","KAIMUR","NUAON                                             ","2014-12-06 10:39:43.890"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","WEED MANAGEMENT OF CHICK PEA","SPRAY ALACHLORE @ 1 GM /LITER OF WATER","BIHAR","KAIMUR","DURGAWATI                                         ","2014-12-06 15:34:09.537"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","FERTILIZER DOSE OF WHEAT","APPLY UREA-80KG,D A P-130KG,MOP-67KG AT THE IME OF SOWING AND THEN  APPLY urea  AFFTER 1st IRRIGATION AND 2nd irrigation","BIHAR","KAIMUR","BHABUA                                            ","2014-12-07 15:02:48.520"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","INSECT CONTROL","spray cloropyriphos@2ml/lit of water","BIHAR","KAIMUR","BHABUA                                            ","2014-12-07 15:05:45.437"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","fungal problem","Spray copper oxycloride @ 2 gram in","BIHAR","KAIMUR","MOHANIA                                           ","2014-12-07 15:51:25.813"
