"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Market Information","Want to registration of SMS on My Mobile Number ?","We have activate the SMS facility of on your mobile Number..","MADHYA PRADESH","RAJGARH","KHILCHIPUR                                        ","2014-12-01 06:15:04.403"
"RABI","AGRICULTURE","Others","Others","Weather","Farmer want to know information about  weather forecast ?","01/12               02/12               03/12               04/12               05/12
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","MADHYA PRADESH","RAJGARH","BIAORA                                            ","2014-12-01 07:05:33.610"
"RABI","AGRICULTURE","Others","Others","Weather","Farmer want to know information about  weather forecast ?","01/12               02/12               03/12               04/12               05/12
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","MADHYA PRADESH","RAJGARH","BIAORA                                            ","2014-12-01 07:08:45.513"
"RABI","HORTICULTURE","Vegetables","Chillies","Government Schemes","FARMER WANT TO KNOW ABOUT govt. schemes of horticulture ?","please contact your R.H.E.O officer or horticulture department office of your district .","MADHYA PRADESH","RAJGARH","NARSINGHGARH                                      ","2014-12-01 07:36:47.193"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Turmits in wheat field what can I do ?","Broadcasting of Chlorepyriphos @ 8-10 kg./acre","MADHYA PRADESH","RAJGARH","NARSINGHGARH                                      ","2014-12-01 07:49:57.843"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","how to increase growth of onion seedling ?","foliar application of IFFCO 19:19:19 water soluble fertilizer @ 2kg / acar.","MADHYA PRADESH","RAJGARH","NARSINGHGARH                                      ","2014-12-01 08:25:18.280"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","farmer want to know information about weed MANAGEMENT in wheat?","for weed MANAGEMENT in wheat spray metsulfuran @ 1gm/pump.","MADHYA PRADESH","RAJGARH","ZIRAPUR                                           ","2014-12-01 08:25:49.807"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","farmer want to know information about How to control weeds in wheat crop?","Ans- clodinofop propargyl  15% + metsulfuron methyl 1%wp +(vesta) 160 gram/acre spray","MADHYA PRADESH","RAJGARH","RAJGARH                                           ","2014-12-01 08:55:05.703"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","farmer want to know information about Which fertilizer and nutrient give for better growth in WHEAT crop?","Spray N: P: K 19:19:19 100 grams /15 liter of water.","MADHYA PRADESH","RAJGARH","NARSINGHGARH                                      ","2014-12-01 09:50:11.647"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","Foliar spray in wheat?","spray of water soluble fertilizer NPK 19:19:19 @     100 g   /pump","MADHYA PRADESH","RAJGARH","BIAORA                                            ","2014-12-01 10:10:59.797"
